Rank,Player,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Fouls,Tackles,Inter,OwnG,Drb,Clear,Blocks,Offsides,Fouled,KeyP,Off,UnsTch,Disp,Crosses,AvgP,LongB,ThrB,Shots,xG/Shots,xG,xGDiff,xG/90
39,João Palhinha,Fulham,29,DMC,31(2),2711,4,1,13,-,1.4,83.0,1.2,2,7.04,1.6,4.6,1.4,-,1.5,1.6,0.3,0.1,1.7,0.4,0.1,0.9,0.8,-,40.0,2.4,0.1,45.0,0.07,3.34,0.66,0.11
40,Dominic Solanke,Bournemouth,27,FW,37(1),3333,19,3,3,-,2.9,73.7,2.6,3,7.03,1.1,0.6,0.2,-,0.5,1.1,0.1,0.1,1.2,1,0.4,3.6,2.1,0.1,14.0,0.2,-,109.0,0.19,20.47,-1.47,0.55
41,Josko Gvardiol,Man City,22,D(CL),26(2),2330,4,1,3,-,1.1,88.3,1.1,1,7.03,0.7,2,1,-,0.6,0.9,0.4,0.3,0.8,0.6,0.1,0.8,0.5,0.1,61.9,1.5,-,32.0,0.1,3.13,0.87,0.12
42,Cristian Romero,Tottenham,26,D(C),33,2793,5,-,7,1,0.7,91.9,2.7,1,7.03,0.9,2,1.3,1,0.4,3,0.7,0.9,0.7,0.2,-,0.4,0.1,-,78.4,1.8,0.1,24.0,0.19,4.5,0.5,0.15
43,Bryan Mbeumo,Brentford,25,"AM(LR),FW",22(3),1960,9,6,2,-,2.1,72.3,0.9,3,7.02,0.9,0.6,0.3,-,0.6,0.5,0.1,-,1.7,1.3,0.1,2.7,1.6,1.2,26.0,0.7,0.2,53.0,0.2,10.48,-1.48,0.48
44,Morgan Gibbs-White,Nottingham Forest,24,"AM(CLR),FW",35(2),3164,5,10,9,-,1.9,76.9,1.6,2,7.0,1,1,0.5,-,0.5,0.5,0.2,-,1.5,2,0.2,2.1,1.2,1.5,34.6,1.9,0.2,71.0,0.09,6.64,-1.64,0.19
45,James Ward-Prowse,West Ham,30,M(CR),34(3),3006,7,7,4,-,1.2,89.6,0.7,4,6.99,0.6,1.2,1,-,0.7,1.2,0.2,-,0.5,1.7,-,0.4,0.3,1.7,39.8,1.4,-,44.0,0.13,5.7,1.3,0.17
46,Jacob Murphy,Newcastle,29,"D(R),M(LR)",14(7),1194,3,7,1,-,1.4,73.6,0.2,1,6.99,0.3,1,0.3,-,0.7,0.6,-,-,0.7,1.5,-,0.9,0.7,0.8,20.0,0.3,0.2,30.0,0.08,2.51,0.49,0.19
47,Gabriel Magalhães,Arsenal,27,D(C),34(2),3044,4,-,4,-,0.9,89.1,2.2,1,6.99,1,1.3,0.9,1,0.1,2.7,0.9,0.5,0.9,0.1,-,0.3,0.1,-,59.6,1.9,-,31.0,0.15,4.59,-0.59,0.14
48,Pedro Neto,Wolves,24,"AM(CLR),FW",18(2),1521,2,9,4,-,1.8,83.4,0.2,1,6.99,0.8,0.4,0.3,-,0.5,0.1,0.1,-,1.1,1.9,0.1,2.2,1,1.7,29.5,0.9,-,36.0,0.09,3.32,-1.32,0.2
