Rank,Player,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
34,Nicolas Jackson,Chelsea,23,FW,31(4),2810,14,5,2.3,1.1,1.5,1.1,0.8,1.9,2.5,7.07
35,Kieran Trippier,Newcastle,34,"D(LR),M(R)",26(2),2240,1,10,0.3,2.3,0.6,0.8,0.1,0.3,0.7,7.07
36,Ross Barkley,Luton,31,M(CLR),30(2),2622,5,4,2.1,1.4,2.1,1.3,-,1.8,0.8,7.05
37,Lucas Paquetá,West Ham,27,"M(CLR),FW",31,2638,4,6,1.4,1.4,1.3,2.1,0.2,2.6,2.3,7.04
38,Pedro Porro,Tottenham,25,"D(R),M(R)",35,3093,3,7,1.5,1.5,0.7,0.8,-,0.4,1.1,7.04
39,João Palhinha,Fulham,29,DMC,31(2),2711,4,1,1.4,0.4,0.3,1.7,0.1,0.8,0.9,7.04
40,Dominic Solanke,Bournemouth,27,FW,37(1),3333,19,3,2.9,1,1,1.2,0.4,2.1,3.6,7.03
41,Josko Gvardiol,Man City,22,D(CL),26(2),2330,4,1,1.1,0.6,0.9,0.8,0.1,0.5,0.8,7.03
42,Cristian Romero,Tottenham,26,D(C),33,2793,5,-,0.7,0.2,0.2,0.7,-,0.1,0.4,7.03
43,Bryan Mbeumo,Brentford,25,"AM(LR),FW",22(3),1960,9,6,2.1,1.3,1,1.7,0.1,1.6,2.7,7.02
44,Morgan Gibbs-White,Nottingham Forest,24,"AM(CLR),FW",35(2),3164,5,10,1.9,2,1.2,1.5,0.2,1.2,2.1,7.00
45,James Ward-Prowse,West Ham,30,M(CR),34(3),3006,7,7,1.2,1.7,0.3,0.5,-,0.3,0.4,6.99
46,Jacob Murphy,Newcastle,29,"D(R),M(LR)",14(7),1194,3,7,1.4,1.5,0.6,0.7,-,0.7,0.9,6.99
47,Gabriel Magalhães,Arsenal,27,D(C),34(2),3044,4,-,0.9,0.1,0.1,0.9,-,0.1,0.3,6.99
48,Pedro Neto,Wolves,24,"AM(CLR),FW",18(2),1521,2,9,1.8,1.9,1.9,1.1,0.1,1,2.2,6.99
49,John McGinn,Aston Villa,30,M(CLR),35,3010,6,4,1.1,1.3,1.5,2,0.1,1.7,1.6,6.98
50,Dwight McNeil,Everton,25,M(CLR),33(2),2900,3,6,1.6,2,0.9,0.9,0.1,1.7,1.9,6.97
51,Casemiro,Man Utd,32,"D(C),DMC",24(1),1987,1,2,1.6,0.6,0.4,0.4,0.2,0.7,0.6,6.97
52,Leon Bailey,Aston Villa,27,"M(CLR),FW",22(13),2080,10,9,1.5,1.5,1.6,0.7,0.3,1.2,1.5,6.96
53,Dejan Kulusevski,Tottenham,24,"AM(CR),FW",31(5),2767,8,3,1.6,1.8,1.5,0.8,0.3,1.8,2.4,6.96
54,Alphonse Areola,West Ham,31,GK,31,2702,-,-,-,-,-,0.1,-,-,-,6.96
55,Diogo Dalot,Man Utd,25,"D(LR),M(LR)",35(1),3174,2,3,0.8,1.1,0.9,0.4,0.1,0.3,0.7,6.96
56,Douglas Luiz,Aston Villa,26,M(C),35,3003,9,5,1.4,1.5,0.7,1.2,-,0.9,0.9,6.95
57,Willy-Arnaud Boly,Nottingham Forest,33,D(C),18(2),1443,2,1,0.7,0.5,0.2,0.1,0.1,0.2,0.2,6.94
58,Dan Burn,Newcastle,32,"D(CL),M(L)",32(1),2733,2,2,0.7,0.3,0.1,0.3,0.1,0.3,0.5,6.94
59,João Pedro,Brighton,23,"AM(CL),FW",19(12),2046,9,3,2.4,1.2,1.4,1.9,0.4,2,2.7,6.93
60,Ben White,Arsenal,27,"D(CR),DMC",35(2),2995,4,4,0.4,1.1,0.2,0.3,0.3,0.2,0.7,6.93
