Rank,Player,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
80,William Saliba,Arsenal,23,D(C),38,3420,2,1,4,-,0.3,92.6,1.9,2,6.85
81,Vitalii Mykolenko,Everton,25,"D(CL),M(L)",28,2472,2,-,1,-,0.9,74.9,1.1,2,6.85
82,Jordan Ayew,Crystal Palace,33,"AM(CLR),FW",30(5),2551,4,7,7,1,1.4,80.6,1,3,6.85
83,Kyle Walker,Man City,34,"D(CR),M(R)",30(2),2767,-,4,2,-,0.5,90.4,0.8,-,6.85
84,André Onana,Man Utd,28,GK,38,3420,-,-,5,-,-,70.4,0.4,2,6.84
85,Noni Madueke,Chelsea,22,"AM(R),FW",13(10),1057,5,2,2,-,1.4,88.5,0.3,2,6.84
86,James Garner,Everton,23,M(CR),34(3),3006,1,2,7,-,1.1,82.8,0.7,-,6.84
87,Ibrahima Konaté,Liverpool,25,D(C),17(5),1571,-,-,3,1,0.5,88,3.5,-,6.84
88,Richarlison,Tottenham,27,"AM(CLR),FW",18(10),1493,11,4,3,-,2.2,70.9,0.9,1,6.83
89,Rúben Dias,Man City,27,D(C),28(2),2558,-,-,-,-,0.7,94.1,1.6,-,6.83
90,Idrissa Gueye,Everton,35,M(C),24(1),1896,4,-,8,-,1,85.6,0.6,1,6.83
91,Lewis Cook,Bournemouth,27,M(CL),32(1),2792,-,3,5,1,0.4,81.2,1.3,2,6.83
92,Martin Dúbravka,Newcastle,35,GK,22(1),1984,-,-,1,-,-,74.9,0.2,2,6.83
93,Alfie Doughty,Luton,25,"D(L),M(LR)",34(3),2938,2,8,5,-,0.7,75.2,0.6,2,6.83
94,Leandro Trossard,Arsenal,30,"M(CLR),FW",18(16),1647,12,1,2,-,1.8,78.7,0.2,1,6.82
95,Oliver McBurnie,Sheff Utd,28,"AM(CL),FW",15(6),1287,6,3,3,2,1.6,60.3,5.4,2,6.82
96,Jefferson Lerma,Crystal Palace,30,"D(CR),DMC",27(1),2404,1,1,8,-,1.2,82.4,2.5,1,6.82
97,Levi Colwill,Chelsea,21,D(CL),20(3),1800,1,1,2,-,0.5,83.4,1.9,2,6.82
98,Marc Cucurella,Chelsea,26,"D(CL),M(L)",20(1),1786,-,2,10,-,0.4,86.7,1.2,-,6.81
99,Dominik Szoboszlai,Liverpool,24,AM(CLR),25(8),2110,3,2,1,-,1.8,87.3,0.4,1,6.81
100,Craig Dawson,Wolves,34,D(CR),25,2211,1,1,7,-,0.6,86.7,2.5,2,6.81
101,Fabian Schär,Newcastle,33,D(C),35(1),3057,4,1,5,-,1,83.2,1.9,1,6.81
102,Oleksandr Zinchenko,Arsenal,28,"D(L),M(CLR)",20(7),1727,1,2,2,-,0.6,89.4,1,3,6.81
103,Raheem Sterling,Chelsea,30,"M(CLR),FW",22(9),1983,8,4,7,-,1.6,79.3,0.1,2,6.80
104,Tosin Adarabioyo,Fulham,27,D(CR),18(2),1617,2,-,2,-,0.7,84.7,2.9,-,6.80
105,Kobbie Mainoo,Man Utd,19,DMC,24,1942,3,1,3,-,0.5,86.7,0.8,-,6.80
106,Marcos Senesi,Bournemouth,27,D(C),26(5),2248,4,5,13,-,0.4,78.5,1.3,1,6.80
107,Christian Nørgaard,Brentford,30,"D(C),DMC",30(1),2513,2,1,8,-,1.1,81.2,1.3,1,6.80
108,Boubacar Kamara,Aston Villa,25,"D(CL),DMC",20,1662,-,1,7,1,0.3,89.3,1,-,6.79
109,Micky van de Ven,Tottenham,23,D(CL),27,2344,3,-,5,-,0.3,94.3,1.4,1,6.79
110,Hwang Hee-Chan,Wolves,28,"AM(CLR),FW",25(4),2133,12,3,6,-,1.6,77.7,0.2,2,6.79
111,Rodrigo Muniz,Fulham,23,FW,18(8),1598,9,1,1,-,2.8,62.1,2.9,2,6.79
112,Callum Hudson-Odoi,Nottingham Forest,24,M(CLR),20(9),1856,8,1,-,-,1.3,85.3,0.1,3,6.79
113,Dominic Calvert-Lewin,Everton,27,"AM(L),FW",26(6),2189,7,2,2,-,2.3,56.9,4.4,2,6.79
114,Manuel Akanji,Man City,29,"D(CLR),DMC",28(2),2514,2,-,2,1,0.5,93.8,0.9,-,6.78
115,Carlton Morris,Luton,29,"AM(CL),FW",32(6),2867,11,4,4,-,1.9,66.8,3.5,1,6.78
116,Emerson,West Ham,30,"D(L),M(L)",35(1),3143,1,2,10,-,0.5,82.9,0.7,1,6.78
117,Tyrick Mitchell,Crystal Palace,25,"D(L),M(L)",37,3209,2,3,6,-,0.3,74.2,0.6,-,6.78
118,Thiago Silva,Chelsea,40,D(C),28(3),2528,3,1,4,-,0.5,94.9,1.7,-,6.77
119,Alex Iwobi,Fulham,28,"D(R),M(CLR)",25(5),2205,5,2,2,-,1.7,81.8,0.2,2,6.77
120,Chiedozie Ogbene,Luton,27,"M(CLR),FW",20(10),1994,4,1,1,-,1.2,81.6,1,1,6.76
121,Brennan Johnson,Tottenham,23,"AM(CLR),FW",23(9),2093,5,10,3,-,1.6,76.2,0.2,-,6.76
122,Alejandro Garnacho,Man Utd,20,AM(CLR),30(6),2578,7,4,4,-,2.8,79.4,0.2,2,6.76
123,Rayan Aït-Nouri,Wolves,23,"D(L),M(L)",29(4),2347,2,1,7,-,0.7,86.6,0.6,1,6.76
124,Edson Álvarez,West Ham,27,"D(C),DMC",28(3),2385,1,1,11,-,0.5,86.1,1,-,6.76
125,Enzo Fernández,Chelsea,23,M(C),26(2),2215,3,2,7,-,1.7,86.9,0.8,1,6.75
126,Aaron Wan-Bissaka,Man Utd,27,"D(LR),M(R)",20(2),1782,-,2,4,-,0.1,82.9,1,1,6.75
127,Chris Wood,Nottingham Forest,33,FW,20(11),1810,14,1,-,-,1.5,64.5,2.4,3,6.75
128,Andreas Pereira,Fulham,28,M(CLR),34(3),2638,3,7,6,-,1.4,78.8,0.4,2,6.75
129,Joelinton,Newcastle,28,"AM(CLR),FW",15(5),1281,2,1,6,-,1,83.9,0.9,1,6.75
