Rank,Player,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
84,André Onana,Man Utd,28,GK,38,3420,-,0.1,36.1,70.4,-,5.4,-,6.84
85,Noni Madueke,Chelsea,22,"AM(R),FW",13(10),1057,2,0.9,19.7,88.5,0.2,0.4,-,6.84
86,James Garner,Everton,23,M(CR),34(3),3006,2,1.2,30,82.8,0.7,1.2,0.1,6.84
87,Ibrahima Konaté,Liverpool,25,D(C),17(5),1571,-,0.4,65.9,88,-,2.1,0.1,6.84
88,Richarlison,Tottenham,27,"AM(CLR),FW",18(10),1493,4,0.5,13.4,70.9,-,0.3,-,6.83
89,Rúben Dias,Man City,27,D(C),28(2),2558,-,0.2,86.9,94.1,0.1,2.8,0.1,6.83
90,Idrissa Gueye,Everton,35,M(C),24(1),1896,-,0.6,35.2,85.6,-,0.9,-,6.83
91,Lewis Cook,Bournemouth,27,M(CL),32(1),2792,3,1.4,40.7,81.2,1,1.5,-,6.83
92,Martin Dúbravka,Newcastle,35,GK,22(1),1984,-,-,22,74.9,-,3.1,-,6.83
93,Alfie Doughty,Luton,25,"D(L),M(LR)",34(3),2938,8,1.9,29.5,75.2,2.4,1.8,-,6.83
94,Leandro Trossard,Arsenal,30,"M(CLR),FW",18(16),1647,1,0.7,17.8,78.7,0.3,0.5,-,6.82
95,Oliver McBurnie,Sheff Utd,28,"AM(CL),FW",15(6),1287,3,0.6,19,60.3,0.1,-,-,6.82
96,Jefferson Lerma,Crystal Palace,30,"D(CR),DMC",27(1),2404,1,0.9,43.8,82.4,0.1,1.4,0.1,6.82
97,Levi Colwill,Chelsea,21,D(CL),20(3),1800,1,0.3,45.8,83.4,-,1.9,-,6.82
98,Marc Cucurella,Chelsea,26,"D(CL),M(L)",20(1),1786,2,0.9,50.3,86.7,0.2,0.7,-,6.81
99,Dominik Szoboszlai,Liverpool,24,AM(CLR),25(8),2110,2,1.7,42.4,87.3,0.8,1.6,0.1,6.81
100,Craig Dawson,Wolves,34,D(CR),25,2211,1,0.4,50.9,86.7,-,4,0.1,6.81
101,Fabian Schär,Newcastle,33,D(C),35(1),3057,1,0.3,58.5,83.2,0.1,5.1,0.1,6.81
102,Oleksandr Zinchenko,Arsenal,28,"D(L),M(CLR)",20(7),1727,2,1.1,52.3,89.4,0.2,2,0.2,6.81
103,Raheem Sterling,Chelsea,30,"M(CLR),FW",22(9),1983,4,1,21.2,79.3,0.3,0.2,0.1,6.80
104,Tosin Adarabioyo,Fulham,27,D(CR),18(2),1617,-,0.1,60.6,84.7,-,3.6,-,6.80
105,Kobbie Mainoo,Man Utd,19,DMC,24,1942,1,0.6,35.9,86.7,-,0.9,0.2,6.80
106,Marcos Senesi,Bournemouth,27,D(C),26(5),2248,5,0.7,40.6,78.5,0.4,4,0.1,6.80
